loan_amnt,term,int_rate,grade,sub_grade,emp_length,home_ownership,annual_inc,purpose,dti,delinq_2yrs,open_acc,pub_rec,revol_bal,revol_util,total_acc,actual_default,predicted_prob
4325,0,14.65,C,14,1,1,65000.0,4,7.24,2.0,6.0,2.0,2721,65.0,17.0,0,0.31076926
18000,0,17.99,D,16,1,5,102450.0,9,12.7,0.0,5.0,0.0,2745,28.9,10.0,1,0.5996298
4800,0,13.33,C,12,5,5,48000.0,2,22.43,0.0,23.0,0.0,15478,65.6,28.0,1,0.5994025
20000,0,17.27,D,17,1,1,50000.0,2,3.02,2.0,3.0,0.0,4245,38.2,11.0,1,0.5180687
3000,0,13.99,C,13,1,5,68000.0,2,37.77,0.0,11.0,0.0,48736,94.3,36.0,0,0.4734502
18000,0,6.39,A,1,11,1,140000.0,2,12.73,1.0,16.0,0.0,40440,76.3,42.0,0,0.26753798
11000,1,14.99,C,13,9,5,32000.0,2,22.69,0.0,12.0,0.0,19028,36.6,17.0,1,0.7596051
7000,0,15.31,C,11,1,4,45000.0,4,27.49,0.0,12.0,2.0,5373,31.8,31.0,0,0.40008897
25500,1,14.65,C,12,6,1,70000.0,11,17.69,0.0,14.0,0.0,9409,26.3,22.0,1,0.5256182
1500,0,15.31,C,14,10,4,85000.0,7,35.41,3.0,15.0,0.0,17996,40.6,41.0,1,0.41978824
4400,0,12.05,C,10,10,4,10000.0,2,17.05,0.0,5.0,0.0,4709,29.8,7.0,0,0.39199224
9000,0,8.39,B,5,10,1,143000.0,5,13.13,0.0,15.0,0.0,20958,55.6,28.0,0,0.30805448
21000,0,7.9,A,3,4,5,98000.0,0,5.93,0.0,4.0,0.0,1618,12.2,5.0,0,0.27514347
14000,1,17.27,C,14,3,1,79000.0,1,16.06,0.0,10.0,0.0,24690,71.6,21.0,0,0.48145443
13000,1,22.99,F,26,1,5,32000.0,2,20.59,1.0,9.0,0.0,10668,61.7,27.0,0,0.78616583
28600,1,25.99,F,29,4,1,65000.0,2,18.22,1.0,11.0,0.0,19362,68.7,17.0,1,0.76219654
11975,0,15.61,D,15,8,1,75000.0,2,5.25,0.0,11.0,0.0,8092,44.7,26.0,0,0.42193305
7000,0,16.55,D,16,1,5,50360.0,9,34.15,0.0,9.0,0.0,10868,72.0,11.0,1,0.6589931
12000,0,5.32,A,0,1,5,66000.0,1,30.27,0.0,22.0,0.0,27873,29.3,28.0,0,0.25947046
10000,0,17.77,D,15,2,5,38400.0,2,12.34,0.0,8.0,0.0,13894,71.3,8.0,0,0.59046346
17500,0,10.15,B,6,10,5,115000.0,2,6.92,0.0,8.0,0.0,16929,30.7,15.0,0,0.16807123
11000,0,13.99,C,12,3,5,75000.0,2,10.56,0.0,10.0,0.0,7300,65.8,15.0,0,0.5722789
20000,0,10.64,B,8,3,5,100000.0,2,16.02,0.0,15.0,0.0,27018,74.0,17.0,0,0.45334682
7500,0,13.67,B,9,1,1,75000.0,2,8.26,0.0,5.0,1.0,4483,50.9,11.0,0,0.22254845
10000,1,16.02,C,14,1,1,50000.0,4,7.03,0.0,16.0,0.0,1250,2.7,26.0,0,0.5705342
10000,1,17.09,D,15,11,5,17292.0,2,19.64,0.0,5.0,0.0,1429,16.1,6.0,0,0.8057066
7900,0,9.99,B,7,0,1,70000.0,1,18.43,0.0,10.0,0.0,9571,51.7,19.0,0,0.2647799
5000,0,14.16,C,11,3,5,55000.0,2,7.22,0.0,4.0,0.0,3059,87.4,13.0,0,0.33026588
6300,0,11.22,B,9,9,4,65000.0,2,21.53,0.0,17.0,1.0,7957,35.4,22.0,0,0.4620028
8000,0,13.49,C,11,1,4,50448.0,2,29.01,0.0,18.0,0.0,6974,21.7,38.0,0,0.55733657
5000,0,26.24,E,24,2,5,24000.0,9,10.71,2.0,13.0,0.0,5115,11.7,18.0,0,0.71350485
4000,0,15.61,D,15,11,1,25000.0,1,16.08,0.0,11.0,1.0,7730,74.3,37.0,1,0.61173004
15000,0,13.35,C,11,11,1,40800.0,1,21.82,1.0,8.0,0.0,7077,71.9,19.0,0,0.57384497
8500,0,7.39,A,3,1,5,50404.0,9,14.12,0.0,22.0,1.0,7785,12.5,31.0,0,0.25581086
25000,1,19.99,E,20,1,5,78000.0,6,11.74,3.0,6.0,0.0,2406,19.4,14.0,1,0.8383334
32000,0,11.47,B,9,11,5,8000.0,2,64.11,0.0,6.0,4.0,5497,53.4,13.0,0,0.74295354
6000,0,11.67,B,8,9,1,71000.0,2,14.74,0.0,9.0,0.0,4935,31.6,14.0,0,0.28814474
2850,0,14.65,C,14,10,1,40000.0,2,26.22,0.0,9.0,0.0,8408,77.1,16.0,1,0.5448695
18100,1,20.99,E,24,5,5,44104.0,2,16.96,0.0,8.0,1.0,15341,68.8,18.0,1,0.8176352
12000,1,17.57,D,18,7,1,39924.0,2,25.61,0.0,16.0,0.0,7865,81.9,22.0,0,0.7830067
15000,0,13.11,B,8,0,4,47000.0,2,31.79,0.0,18.0,0.0,12170,69.5,36.0,0,0.3924949
6000,0,5.32,A,0,1,5,62000.0,1,26.21,0.0,16.0,1.0,6760,25.2,24.0,0,0.3077552
17000,0,10.99,B,8,1,5,88000.0,7,5.63,0.0,7.0,0.0,13815,68.7,10.0,0,0.38228685
5000,0,10.99,B,7,3,5,19200.0,2,4.44,0.0,4.0,0.0,2402,46.2,4.0,1,0.34237903
9600,0,9.49,B,6,1,1,60000.0,1,17.34,0.0,10.0,1.0,10243,54.2,42.0,0,0.2965698
15000,0,13.67,B,9,1,1,80000.0,2,13.25,0.0,13.0,0.0,30055,77.5,38.0,0,0.308127
6000,0,6.24,A,1,1,5,61000.0,2,10.35,0.0,4.0,0.0,4636,18.9,8.0,0,0.075561024
15000,0,5.32,A,0,6,1,37752.0,1,20.25,0.0,11.0,0.0,13655,31.5,23.0,0,0.11848924
7200,0,7.89,A,4,8,1,70000.0,1,27.1,1.0,7.0,0.0,5481,71.2,15.0,0,0.24343538
20000,0,6.03,A,0,4,1,72000.0,1,23.18,0.0,15.0,0.0,25360,20.9,32.0,0,0.11758719
35000,0,14.09,B,9,1,1,250000.0,2,9.66,0.0,11.0,0.0,9977,24.7,23.0,1,0.36204606
12000,0,6.49,A,1,9,5,45500.0,1,22.28,1.0,15.0,0.0,14342,24.1,41.0,0,0.2335639
22000,1,13.11,B,8,1,1,60000.0,2,19.36,0.0,11.0,0.0,12436,14.4,31.0,0,0.38601053
24000,1,17.09,D,15,10,1,75000.0,2,16.46,0.0,10.0,1.0,23269,52.1,21.0,1,0.62292933
1000,0,7.35,A,3,1,1,47000.0,6,23.01,0.0,10.0,0.0,13845,40.4,37.0,0,0.22193588
20000,1,10.49,B,6,0,1,155000.0,2,10.15,0.0,10.0,0.0,24466,29.9,35.0,0,0.23729871
10000,1,19.47,D,19,8,5,40000.0,1,11.9,0.0,14.0,0.0,3841,89.3,37.0,1,0.772369
7000,0,9.17,B,6,11,4,29000.0,1,23.8,0.0,4.0,1.0,5054,80.2,5.0,0,0.5494618
10000,0,7.49,A,3,1,1,65000.0,2,9.19,0.0,8.0,0.0,58534,31.0,22.0,0,0.20967793
8150,0,15.61,D,15,1,1,65000.0,2,22.25,0.0,12.0,0.0,5799,78.4,14.0,0,0.5717828
12300,1,8.9,A,4,1,1,36400.0,2,20.94,0.0,14.0,0.0,8772,15.5,29.0,0,0.3244465
6000,0,6.11,A,0,4,1,35000.0,1,19.24,0.0,7.0,0.0,4718,26.2,24.0,0,0.0962806
20000,0,17.57,D,18,1,1,60000.0,2,33.9,0.0,21.0,0.0,11763,37.7,35.0,0,0.69836414
7000,0,7.26,A,3,1,1,87000.0,1,22.91,0.0,19.0,0.0,7692,57.8,36.0,0,0.23742412
16800,0,11.67,B,8,1,1,98900.0,2,26.36,0.0,19.0,0.0,30960,88.2,54.0,0,0.2759743
20000,0,14.85,C,14,8,5,90000.0,1,18.01,0.0,15.0,2.0,17865,62.2,45.0,0,0.61417764
7000,0,7.89,A,4,8,1,75000.0,4,17.17,0.0,7.0,0.0,1772,29.5,21.0,0,0.20229705
27500,1,12.49,B,9,1,1,92000.0,1,32.46,0.0,19.0,0.0,32586,34.7,44.0,0,0.46657023
4750,0,12.73,C,10,11,4,26400.0,11,24.83,0.0,8.0,0.0,7145,49.6,13.0,0,0.7932619
14400,0,14.99,C,14,0,4,72000.0,1,18.43,0.0,13.0,0.0,11859,67.0,22.0,0,0.5169999
20000,0,11.14,B,6,2,1,144000.0,2,1.9,0.0,5.0,1.0,14816,48.9,26.0,0,0.15629414
10200,0,14.65,C,14,1,1,40000.0,2,19.89,0.0,24.0,1.0,19173,51.7,37.0,1,0.5916068
22075,1,20.99,E,23,5,1,69000.0,2,16.41,1.0,16.0,0.0,26779,88.7,35.0,0,0.6771803
12800,1,19.03,D,17,1,1,150000.0,1,12.1,0.0,12.0,0.0,10527,84.2,26.0,0,0.5457534
11000,0,14.98,C,12,8,4,52000.0,2,5.79,0.0,4.0,0.0,8032,49.9,6.0,0,0.3923492
20000,1,9.17,B,6,9,1,118740.0,4,1.37,0.0,6.0,0.0,3485,19.4,17.0,0,0.2312052
10000,0,6.62,A,1,1,1,50000.0,1,28.95,0.0,10.0,0.0,10095,25.5,17.0,0,0.12065163
2000,0,10.91,B,8,3,1,35000.0,2,13.39,0.0,6.0,0.0,1153,18.3,7.0,0,0.2668296
5000,0,13.11,B,8,1,1,72500.0,2,5.66,0.0,5.0,0.0,11283,69.2,11.0,0,0.23382251
21600,1,23.83,F,29,7,5,75000.0,9,18.85,0.0,8.0,0.0,10326,98.3,22.0,0,0.71762294
3000,0,10.99,B,8,2,1,72000.0,1,10.7,0.0,9.0,0.0,2891,37.1,25.0,0,0.16217358
8000,0,11.99,B,9,0,5,40000.0,2,12.84,0.0,5.0,0.0,1786,47.0,7.0,0,0.52619857
4100,0,16.59,D,16,0,5,27000.0,2,12.4,0.0,8.0,0.0,9892,63.4,11.0,1,0.57388467
30000,1,12.49,B,8,6,1,65000.0,2,21.07,0.0,20.0,0.0,40006,42.9,35.0,0,0.44116667
20000,1,21.99,F,25,0,1,75000.0,2,20.38,1.0,18.0,1.0,9469,56.0,35.0,0,0.76740044
27000,1,10.99,B,8,1,1,175000.0,2,6.22,1.0,12.0,0.0,16232,45.2,25.0,0,0.34041154
11075,0,9.75,B,7,10,5,63000.0,1,28.93,0.0,16.0,0.0,11931,21.4,17.0,0,0.52818173
26850,0,19.24,E,21,1,1,56000.0,4,21.58,0.0,9.0,0.0,18047,70.2,14.0,1,0.6490508
7550,0,7.26,A,3,1,1,42150.0,1,10.32,2.0,18.0,0.0,6789,28.9,32.0,0,0.2380573
15000,0,12.29,C,10,6,5,64000.0,1,27.3,0.0,14.0,0.0,13354,71.0,23.0,0,0.5328189
12000,0,6.08,A,1,9,4,67500.0,4,5.17,0.0,4.0,0.0,787,11.4,9.0,0,0.12494123
3000,0,16.29,D,16,1,1,33000.0,9,16.69,0.0,11.0,0.0,7813,28.5,14.0,0,0.45624906
10800,0,15.31,C,13,3,5,45000.0,2,18.27,0.0,14.0,0.0,10310,59.6,17.0,0,0.5656792
1000,0,16.02,C,14,1,5,78000.0,2,14.2,0.0,8.0,0.0,34397,97.0,18.0,0,0.21952732
11200,0,15.31,C,13,1,1,35000.0,2,21.54,0.0,14.0,1.0,5324,33.3,35.0,1,0.5618146
28500,0,16.29,D,16,10,5,65000.0,2,20.88,0.0,4.0,0.0,44869,92.1,9.0,0,0.56644213
15000,0,15.99,C,14,4,4,50000.0,1,4.25,0.0,9.0,0.0,2115,15.0,10.0,0,0.68051004
19325,1,26.57,F,29,5,1,135000.0,2,21.46,0.0,21.0,0.0,16993,27.2,40.0,0,0.6635972
9600,0,24.74,E,22,1,5,96000.0,2,7.08,0.0,20.0,1.0,487,4.0,42.0,0,0.67162937
8000,0,15.59,C,14,1,1,46000.0,4,31.25,0.0,9.0,0.0,16455,99.7,17.0,1,0.6491434
30950,0,15.61,D,15,1,1,61900.0,2,12.95,0.0,5.0,0.0,10087,73.1,14.0,0,0.4794698
4800,0,9.17,B,6,3,1,75000.0,9,23.3,1.0,13.0,0.0,7059,46.7,26.0,0,0.34025592
3600,0,5.32,A,0,0,5,55000.0,4,7.57,0.0,8.0,0.0,2211,23.3,12.0,0,0.09195656
35000,0,15.59,C,14,8,1,82000.0,2,28.2,0.0,16.0,0.0,19195,41.5,25.0,1,0.60431796
10000,0,6.19,A,1,1,4,166000.0,4,8.67,0.0,5.0,0.0,1610,9.8,9.0,0,0.09890822
24000,1,19.99,E,20,1,1,110000.0,2,15.95,1.0,9.0,0.0,4978,34.3,34.0,0,0.63297224
15625,1,25.78,F,29,1,1,68000.0,2,31.74,0.0,25.0,0.0,40147,80.6,83.0,1,0.7923259
15000,0,7.26,A,3,2,1,50000.0,1,8.82,1.0,5.0,0.0,14472,27.9,18.0,0,0.118099585
18000,0,8.18,B,5,1,5,87178.0,1,19.56,0.0,5.0,0.0,21909,98.2,21.0,1,0.25670162
15000,0,11.53,B,9,1,5,90000.0,2,17.41,0.0,8.0,1.0,8864,73.9,21.0,0,0.4755204
5350,0,11.14,B,6,5,1,65000.0,2,23.0,0.0,11.0,0.0,10784,63.8,28.0,0,0.22660089
4000,0,11.53,B,9,1,5,89329.0,9,21.17,0.0,12.0,0.0,10404,80.0,23.0,0,0.4101569
6000,0,9.17,B,6,1,5,24000.0,2,6.35,0.0,12.0,1.0,2726,12.3,32.0,0,0.2908325
20000,1,13.33,C,12,2,1,125000.0,2,11.71,0.0,14.0,0.0,15981,43.4,21.0,0,0.5572419
2500,0,14.07,C,12,10,5,29120.0,9,13.23,0.0,5.0,0.0,7412,49.4,14.0,0,0.52356344
8000,0,14.65,C,14,1,1,111000.0,2,9.57,1.0,22.0,0.0,4189,31.7,32.0,0,0.42453063
11000,0,8.39,B,5,4,1,65000.0,1,22.32,3.0,11.0,0.0,7615,95.2,19.0,0,0.35941443
6500,0,9.16,B,6,2,5,100000.0,1,8.65,0.0,7.0,0.0,6712,34.8,10.0,0,0.26166886
16000,0,10.91,B,8,1,5,80000.0,2,31.59,0.0,9.0,0.0,18294,78.5,19.0,0,0.4727796
28000,0,12.74,C,10,1,1,125000.0,2,9.42,0.0,5.0,0.0,24017,83.1,11.0,0,0.3762427
14675,0,12.99,B,9,9,4,76000.0,4,19.09,0.0,9.0,1.0,6280,46.0,19.0,0,0.32897934
7675,0,14.65,C,14,2,5,24000.0,2,15.0,0.0,18.0,0.0,8089,97.5,28.0,0,0.5149637
18150,0,16.99,D,17,4,1,90000.0,9,12.65,0.0,11.0,0.0,14955,53.0,24.0,0,0.5575434
16525,1,19.47,D,19,1,1,56200.0,2,6.54,1.0,8.0,0.0,8416,31.3,10.0,0,0.67297065
10000,1,13.67,C,12,1,1,53000.0,2,9.92,1.0,6.0,0.0,4637,52.7,19.0,0,0.5332773
10000,0,9.8,B,7,10,1,92000.0,1,16.19,0.0,11.0,0.0,11658,41.0,13.0,0,0.3111725
15000,0,12.85,B,8,7,5,43000.0,2,8.68,0.0,13.0,1.0,11348,44.0,31.0,0,0.40602335
15000,0,10.16,B,5,9,1,54000.0,2,23.76,0.0,14.0,0.0,5910,24.4,29.0,0,0.2768493
9000,0,14.99,C,13,3,5,55000.0,1,19.83,2.0,9.0,0.0,8577,36.0,11.0,0,0.5276832
17600,0,8.9,A,4,8,1,50000.0,2,16.58,0.0,8.0,0.0,235,2.9,34.0,0,0.23988567
1000,0,13.67,B,9,10,5,20000.0,1,13.14,0.0,8.0,0.0,1416,54.5,21.0,0,0.38273844
1800,0,14.49,C,13,8,5,21600.0,8,23.67,1.0,9.0,0.0,8507,73.3,30.0,1,0.49929035
9600,0,11.99,B,9,5,5,43000.0,2,24.16,0.0,23.0,0.0,9408,38.6,25.0,0,0.5269359
12000,0,15.61,D,15,1,1,45000.0,2,25.15,0.0,14.0,0.0,14622,43.0,17.0,0,0.58331573
20000,1,14.99,C,14,1,1,88000.0,2,16.2,0.0,8.0,0.0,16618,93.9,21.0,1,0.51829153
20000,0,13.99,C,13,1,1,90000.0,2,16.41,4.0,6.0,0.0,6344,53.3,20.0,0,0.5011777
15000,0,15.99,D,16,10,5,49920.0,9,0.6,0.0,6.0,0.0,1406,4.5,6.0,0,0.61495245
10500,1,28.72,F,25,0,5,86000.0,6,30.25,0.0,10.0,0.0,18350,97.1,18.0,1,0.8521153
6000,0,11.49,B,9,1,4,62000.0,4,15.65,1.0,8.0,0.0,1681,35.0,25.0,0,0.43882468
19200,0,7.49,A,3,4,5,65000.0,1,9.51,0.0,9.0,0.0,17336,71.9,14.0,0,0.22062549
28000,0,11.99,B,9,10,5,188000.0,2,6.56,1.0,8.0,1.0,10496,35.8,20.0,1,0.4899941
24375,0,14.09,B,9,6,5,55000.0,2,15.55,0.0,7.0,0.0,33754,92.7,20.0,0,0.3377456
17000,0,13.11,B,8,11,1,80000.0,4,1.72,0.0,3.0,0.0,4989,97.9,8.0,0,0.44555962
18000,1,15.05,C,13,1,1,80000.0,1,14.91,0.0,9.0,0.0,14620,79.9,29.0,1,0.50173324
6000,0,15.31,C,14,1,1,49606.0,2,23.2,0.0,9.0,0.0,3841,49.9,16.0,0,0.54949313
12575,0,17.86,D,19,4,5,46774.0,2,12.5,0.0,15.0,0.0,12691,33.0,15.0,0,0.62996584
6000,0,8.46,A,4,1,1,40000.0,2,12.42,0.0,9.0,0.0,5284,11.8,24.0,0,0.16286525
6400,0,12.74,C,10,5,5,22000.0,1,14.02,0.0,17.0,0.0,9156,30.4,23.0,0,0.58427787
25000,0,7.62,A,2,1,1,98474.0,2,6.67,0.0,13.0,0.0,21578,26.0,20.0,0,0.10794439
24000,0,9.17,B,6,6,1,60000.0,2,13.5,0.0,5.0,0.0,3242,58.9,25.0,0,0.3265682
15000,0,5.32,A,0,1,1,150000.0,2,15.12,0.0,23.0,0.0,27844,17.6,46.0,0,0.07922354
12000,0,8.99,B,5,6,5,47000.0,2,18.0,0.0,6.0,0.0,11935,42.8,17.0,0,0.30167577
35000,1,13.33,C,12,1,1,600000.0,2,7.47,0.0,11.0,0.0,75071,82.0,36.0,0,0.34529167
18000,1,14.31,C,13,9,5,75000.0,2,20.58,1.0,15.0,1.0,7476,24.8,31.0,0,0.74686587
4200,0,13.99,C,12,6,1,45000.0,9,27.65,1.0,10.0,0.0,11834,80.0,19.0,0,0.5338415
12000,0,10.37,B,7,10,5,43680.0,13,17.91,0.0,4.0,0.0,3208,64.2,10.0,0,0.1816328
9000,0,7.91,A,4,11,1,41280.0,1,6.08,0.0,13.0,0.0,7393,22.3,31.0,1,0.29004666
10275,0,28.69,F,25,2,4,85000.0,9,10.1,0.0,8.0,1.0,6449,55.6,16.0,0,0.67426664
22800,0,13.59,C,11,4,5,74000.0,2,20.4,0.0,14.0,0.0,32431,47.4,21.0,0,0.4637312
35000,1,26.3,E,24,2,1,95000.0,2,22.74,0.0,23.0,1.0,6482,14.9,31.0,0,0.7666157
11000,0,7.26,A,3,2,5,46000.0,2,9.14,0.0,17.0,0.0,5960,37.7,37.0,0,0.18441804
35000,0,11.99,C,10,1,1,105000.0,2,37.94,0.0,18.0,0.0,3571,7.2,31.0,0,0.41440102
24000,1,13.67,C,12,3,1,72000.0,2,30.28,0.0,21.0,1.0,12521,27.3,45.0,1,0.67176706
12400,0,22.9,E,20,1,5,57000.0,1,31.83,1.0,13.0,1.0,7460,24.6,22.0,1,0.75927407
16000,1,13.99,C,13,8,1,127000.0,2,21.22,1.0,11.0,0.0,9968,31.2,42.0,1,0.52520823
13025,0,14.65,C,14,3,5,37000.0,2,28.93,0.0,10.0,0.0,28153,61.9,16.0,0,0.60351026
5875,0,17.86,D,19,8,5,43730.0,2,24.04,0.0,5.0,0.0,2300,63.9,15.0,0,0.6681092
5000,0,15.31,C,14,1,4,30000.0,2,29.88,0.0,17.0,0.0,5196,18.0,19.0,0,0.63762206
10000,0,13.67,C,12,2,5,58000.0,6,2.28,0.0,6.0,2.0,1519,7.6,7.0,1,0.4821834
5500,1,13.23,C,10,5,1,24000.0,1,22.75,0.0,14.0,0.0,15466,35.9,31.0,1,0.60060894
